case_id,source_root,model_name,model_id,condition,run_id,total_score,total_binary,total_graded,binary_check_1,binary_check_2,binary_check_3,binary_check_4,binary_check_5,binding_constraint_accuracy_0_to_2,slow_variable_recall_0_to_2,intervention_quality_0_to_2,distractor_resistance_0_to_2,judge_confidence,judge_error
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,10,5,5,1,1,1,1,1,1,1,1,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,1,2,2,2,0.82,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,9,4,5,1,1,0,1,1,1,1,1,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,8,4,4,1,0,1,1,1,1,0,1,2,0.82,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
ZA-2026-03-26-AGSA-PFMA,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
GH-2026-03-03-CACHE-STORM,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,8,4,4,1,1,0,1,1,1,1,1,1,0.78,
GH-2026-03-03-CACHE-STORM,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
GH-2026-03-05-REDIS-LB,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,7,3,4,0,1,0,1,1,1,1,1,1,0.82,
GH-2026-03-05-REDIS-LB,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,7,3,4,0,1,0,1,1,1,1,1,1,0.82,
NB-2026-02-26-EUNORTH1-RESTART,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
NB-2026-02-26-EUNORTH1-RESTART,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
NB-2026-03-10-USCENTRAL1-POWER,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,9,5,4,1,1,1,1,1,1,1,1,1,0.78,
NB-2026-03-10-USCENTRAL1-POWER,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,8,4,4,1,1,1,0,1,1,1,1,1,0.82,
RW-2026-03-30-CDN-CACHE,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
RW-2026-03-30-CDN-CACHE,software_outages_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
AU-2026-03-12-COMMUNITY-BATTERIES,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
AU-2026-03-12-COMMUNITY-BATTERIES,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,9,5,4,1,1,1,1,1,1,1,1,1,0.78,
EU-2026-02-02-CRITICAL-RAW-MATERIALS,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
EU-2026-02-02-CRITICAL-RAW-MATERIALS,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
IN-2026-02-19-UPSIDA,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,7,3,4,0,1,0,1,1,1,1,1,1,0.78,
IN-2026-02-19-UPSIDA,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,7,3,4,0,1,0,1,1,1,1,1,1,0.82,
NZ-2026-04-01-CORRECTIONS-HOUSING,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
NZ-2026-04-01-CORRECTIONS-HOUSING,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,1,2,2,2,0.82,
UK-2026-02-11-UNLOCKING-LAND,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
UK-2026-02-11-UNLOCKING-LAND,audit_program_reviews_new,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,1,2,2,2,0.82,
GH-2026-03-03-CACHE-STORM,software_outages_new,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
GH-2026-03-03-CACHE-STORM,software_outages_new,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
GH-2026-03-03-CACHE-STORM,software_outages_new,gemini,google/gemini-3-flash-preview,baseline,1,7,3,4,0,1,0,1,1,1,1,1,1,0.78,
GH-2026-03-03-CACHE-STORM,software_outages_new,gemini,google/gemini-3-flash-preview,treatment,1,10,5,5,1,1,1,1,1,1,1,1,2,0.82,
GH-2026-03-05-REDIS-LB,software_outages_new,gpt,openai/gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
GH-2026-03-05-REDIS-LB,software_outages_new,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.88,
GH-2026-03-05-REDIS-LB,software_outages_new,gemini,google/gemini-3-flash-preview,baseline,1,2,1,1,0,0,0,0,1,0,0,1,0,0.92,
GH-2026-03-05-REDIS-LB,software_outages_new,gemini,google/gemini-3-flash-preview,treatment,1,7,3,4,0,1,1,0,1,1,1,1,1,0.82,
NB-2026-02-26-EUNORTH1-RESTART,software_outages_new,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
NB-2026-02-26-EUNORTH1-RESTART,software_outages_new,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
NB-2026-02-26-EUNORTH1-RESTART,software_outages_new,gemini,google/gemini-3-flash-preview,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.88,
NB-2026-02-26-EUNORTH1-RESTART,software_outages_new,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
NB-2026-03-10-USCENTRAL1-POWER,software_outages_new,gpt,openai/gpt-5.4-mini,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
NB-2026-03-10-USCENTRAL1-POWER,software_outages_new,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
NB-2026-03-10-USCENTRAL1-POWER,software_outages_new,gemini,google/gemini-3-flash-preview,baseline,1,8,4,4,0,1,1,1,1,1,1,1,1,0.78,
NB-2026-03-10-USCENTRAL1-POWER,software_outages_new,gemini,google/gemini-3-flash-preview,treatment,1,6,3,3,0,0,1,1,1,1,0,1,1,0.78,
RW-2026-03-30-CDN-CACHE,software_outages_new,gpt,openai/gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
RW-2026-03-30-CDN-CACHE,software_outages_new,gpt,openai/gpt-5.4-mini,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
RW-2026-03-30-CDN-CACHE,software_outages_new,gemini,google/gemini-3-flash-preview,baseline,1,9,3,6,0,0,1,1,1,1,1,2,2,0.82,
RW-2026-03-30-CDN-CACHE,software_outages_new,gemini,google/gemini-3-flash-preview,treatment,1,10,4,6,1,0,1,1,1,1,1,2,2,0.82,
AU-2026-03-12-COMMUNITY-BATTERIES,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
AU-2026-03-12-COMMUNITY-BATTERIES,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
AU-2026-03-12-COMMUNITY-BATTERIES,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
AU-2026-03-12-COMMUNITY-BATTERIES,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
EU-2026-02-02-CRITICAL-RAW-MATERIALS,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
EU-2026-02-02-CRITICAL-RAW-MATERIALS,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
EU-2026-02-02-CRITICAL-RAW-MATERIALS,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,baseline,1,11,5,6,1,1,1,1,1,2,1,2,1,0.82,
EU-2026-02-02-CRITICAL-RAW-MATERIALS,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
IN-2026-02-19-UPSIDA,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,baseline,1,9,4,5,1,1,0,1,1,1,1,1,2,0.82,
IN-2026-02-19-UPSIDA,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
IN-2026-02-19-UPSIDA,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
IN-2026-02-19-UPSIDA,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
NZ-2026-04-01-CORRECTIONS-HOUSING,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
NZ-2026-04-01-CORRECTIONS-HOUSING,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
NZ-2026-04-01-CORRECTIONS-HOUSING,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
NZ-2026-04-01-CORRECTIONS-HOUSING,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,treatment,1,9,5,4,1,1,1,1,1,1,1,1,1,0.78,
UK-2026-02-11-UNLOCKING-LAND,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
UK-2026-02-11-UNLOCKING-LAND,audit_program_reviews_new,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
UK-2026-02-11-UNLOCKING-LAND,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
UK-2026-02-11-UNLOCKING-LAND,audit_program_reviews_new,gemini,google/gemini-3-flash-preview,treatment,1,10,4,6,0,1,1,1,1,1,1,2,2,0.78,
